_chgType,ID,CODE,ORG_ID,INSPECTION_TYPE,RELATED_BILL_TYPE,RELATED_BILL_CODE,RELATED_LINE_CODE,MATERIAL_ID,TEMPLATE_ID,SUPPLIER_ID,WAREHOUSE_ID,BATCH_NO,INSPECTION_DATE,LOT_QUANTITY,SAMPLE_QUANTITY,INSPECTOR_ID,RESULT,DOC_STATUS,APPROVE_STATUS,POSTED,POSTED_AT,POSTED_BY,APPROVED_BY,APPROVED_AT,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,BUSINESS_DATE
A,86200,@var:ErpQaInspection@code_9,,INCOMING,,,,7601,,,,,2026-07-15,,,7701,ACCEPTED,ACTIVE,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*,2026-07-15
A,86201,@var:ErpQaInspection@code_8,,INCOMING,,,,7601,,,,,2026-07-15,,,7701,ACCEPTED,ACTIVE,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*,2026-07-15
A,86202,@var:ErpQaInspection@code_7,,INCOMING,,,,7601,,,,,2026-07-15,,,7701,ACCEPTED,ACTIVE,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*,2026-07-15
A,86203,@var:ErpQaInspection@code_6,,INCOMING,,,,7601,,,,,2026-07-15,,,7701,ACCEPTED,ACTIVE,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*,2026-07-15
A,86204,@var:ErpQaInspection@code_5,,INCOMING,,,,7601,,,,,2026-07-15,,,7701,ACCEPTED,ACTIVE,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*,2026-07-15
A,86205,@var:ErpQaInspection@code_4,,INCOMING,,,,7601,,,,,2026-07-15,,,7701,ACCEPTED,ACTIVE,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*,2026-07-15
A,86206,@var:ErpQaInspection@code_3,,INCOMING,,,,7601,,,,,2026-07-15,,,7701,ACCEPTED,ACTIVE,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*,2026-07-15
A,86207,@var:ErpQaInspection@code_2,,INCOMING,,,,7601,,,,,2026-07-15,,,7701,ACCEPTED,ACTIVE,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*,2026-07-15
A,86208,@var:ErpQaInspection@code_1,,INCOMING,,,,7601,,,,,2026-07-15,,,7701,ACCEPTED,ACTIVE,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*,2026-07-15
A,86209,@var:ErpQaInspection@code,,INCOMING,,,,7601,,,,,2026-07-15,,,7701,ACCEPTED,ACTIVE,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*,2026-07-15
